Model,Organization,Global Average,Reasoning Average,Coding Average,Mathematics Average,Data Analysis Average,Language Average,IF Average
gemini-1.5-pro-002,Google,54.33,49.08,48.8,59.07,54.97,43.29,70.78
grok-2-1212,xAI,54.3,54.83,46.44,54.88,54.45,45.58,69.63
gemini-2.0-flash-lite,Google,54.29,44.92,47.08,58.09,65.45,33.6,76.63
gemini-2.0-flash-lite-preview-02-05,Google,53.24,50.08,43.8,55.54,57.47,34.28,78.28
dracarys2-72b-instruct,AbacusAI,52.64,47.38,58.92,54.66,55.51,34.12,65.22
meta-llama-3.1-405b-instruct-turbo,Meta,52.36,53.25,42.65,41.07,55.85,45.46,75.9
gpt-4o-2024-11-20,OpenAI,52.19,55.75,46.08,42.87,56.15,47.37,64.94
learnlm-1.5-pro-experimental,Google,52.19,43.42,46.87,57.75,54.97,41.98,68.16
chatgpt-4o-latest-0903,OpenAI,51.66,50.5,47.44,42.45,57.93,45.3,66.37
qwen2.5-72b-instruct-turbo,Alibaba,51.44,45.42,57.64,54.29,51.91,34.99,64.39
gpt-4-turbo-2024-04-09,OpenAI,50.4,50.92,49,43.02,54.36,44.26,60.85
llama-3.3-70b-instruct-turbo,Meta,50.16,50.75,36.59,42.24,49.49,39.2,82.67
grok-beta,xAI,49.18,37,45.15,45.84,54.27,43.16,69.62
claude-3-opus-20240229,Anthropic,49.16,40.58,38.59,43.62,57.89,50.39,63.89
mistral-large-2411,Mistral AI,48.43,43.5,47.08,42.55,50.15,39.39,67.93
qwen2.5-coder-32b-instruct,Alibaba,46.23,42.08,56.85,46.61,49.87,23.25,58.69
dracarys2-llama-3.1-70b-instruct,AbacusAI,46.21,44.67,36.31,40.3,53.98,38.78,63.24
deepseek-r1-distill-qwen-32b,DeepSeek,45.55,52.25,33.67,59.44,45.41,26.82,55.71
meta-llama-3.1-70b-instruct-turbo,Meta,44.89,43,33.49,34.72,53.75,35.42,68.98
amazon.nova-pro-v1:0,Amazon,43.53,32.58,38.15,38.04,48.31,36.96,67.13
claude-3-5-haiku-20241022,Anthropic,43.45,28.08,51.36,35.54,48.45,35.37,61.88
mistral-small-2501,Mistral AI,42.55,36.42,35.31,39.89,53.69,30.46,59.54
phi-4,Microsoft,41.61,47.83,30.67,41.98,45.17,25.61,58.38
gpt-4o-mini-2024-07-18,OpenAI,41.26,32.75,43.15,36.31,49.96,28.61,56.8
qwq-32b-preview,Alibaba,40.25,57.71,37.2,58.26,31.62,21.09,35.59
gemma-2-27b-it,Google,38.18,28.08,35.95,26.46,47.87,32.62,58.1
amazon.nova-lite-v1:0,Amazon,36.35,36.67,27.46,36.7,37.23,25.93,54.13
qwen2.5-7b-instruct-turbo,Alibaba,34.9,28.42,38.37,39.51,35.22,15.8,52.11
mistral-small-2409,Mistral AI,33.42,29.92,25.74,24.42,42.73,24.49,53.23
command-r-plus-08-2024,Cohere,31.76,24.75,19.14,21.27,38.06,29.73,57.61
amazon.nova-micro-v1:0,Amazon,29.59,25.08,20.18,34.49,33.95,15.78,48.04
gemma-2-9b-it,Google,28.66,15.17,22.46,19.8,36.39,25.53,52.62
command-r-08-2024,Cohere,27.48,21.92,17.9,19.39,33.34,16.72,55.62
command-r-plus-04-2024,Cohere,27.11,20.58,19.46,17.99,25.48,19.7,59.47
meta-llama-3.1-8b-instruct-turbo,Meta,25.97,13.33,18.74,18.31,32.82,17.71,54.9
phi-3-small-8k-instruct,Microsoft,24.03,15.92,20.26,17.58,30.29,12.94,47.2
phi-3-mini-128k-instruct,Microsoft,22.36,20.5,15.04,15.72,34.69,9.15,39.08
olmo-2-1124-13b-instruct,AllenAI,22.12,16.33,10.41,13.64,20.6,11.16,60.56
phi-3-mini-4k-instruct,Microsoft,22.08,26.83,15.54,14.96,30.21,8.56,
